appendComment,pics,rateContent,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,,,5,挺好，物流超快，,2014-11-23 23:32:53,,,
,,,5,非常好，一套终于买到了,2014-11-23 19:53:33,,,
,,,4,有点厚,2014-11-23 09:41:42,,,
,,,5,大小合适，显瘦,2014-11-22 22:21:09,,,
,,,5,裤型不错，想买很久了，喜欢,2014-11-22 20:28:41,,,身高:162cm
,,,4,包装一般，衣服偏大,2014-11-22 12:35:16,,,身高:160cm
,,,5,裤子不错,2014-11-21 18:00:50,,服务太差经！！！完全自主购物,
,,,5,正品！质量好！,2014-11-21 14:16:25,,,
,,,5,非常好的裤子，很喜欢。双11抢的。,2014-11-21 11:43:36,,,
,,,4,穿一天膝盖就变形了,2014-11-20 22:15:21,,,
,,,3,衣服没问题！服务态度差！,2014-11-20 21:38:49,,,
,,,5,"164,55kg,腰有点大，裤腿宽窄适中。下了1000多的订单，为什么给别人发的顺丰，我是Ems？",2014-11-20 12:48:06,,,
,,,4,正品，合身价格划算,2014-11-20 11:39:55,,,
,,,5,穿着正好！就是发货太慢了！,2014-11-20 10:20:19,非常抱歉，给您的此次购物带来不便。我店正常的发货时间是在付款后的1-2天内，(由于双11订单量剧增，物流时间可能会稍有延长)您的意见我们会跟相关公司进行反馈，不断进行改善。希望能给您带来更优质的服务体验。感谢您对adidas的支持，期待您的下次光临！,,
,,,5,裤子之前在专柜试过，很不错，双十一能买到太划算了。,2014-11-19 21:00:38,,,
,,,5,有点低腰的 不过样子还可以,2014-11-19 19:11:42,,,
,,,5,很漂亮,2014-11-19 16:57:25,,,
,"//img.alicdn.com/bao/uploaded/i2/12449059530858066/TB27wSHbXXXXXaMXpXXXXXXXXXX_!!721652449-0-rate.jpg,//img.alicdn.com/bao/uploaded/i4/12449059584948659/TB20Z5HbXXXXXbnXpXXXXXXXXXX_!!721652449-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/12449061293663648/TB2utyMbXXXXXb_XXXXXXXXXXXX_!!721652449-0-rate.jpg",,5,裤型比较显瘦，现在里面穿秋裤有点紧，个人觉得买平时穿的码字就可以。还不错,2014-11-19 12:05:36,,服务完全没有，看了别人的评价心里也有数了，反正就是没人理,身高:162cm
,,,5,超级美 很修身 很显身材,2014-11-19 10:40:19,,,
,,,5,不错啊,2014-11-19 10:08:44,,,
,,,5,正品，非常不错,2014-11-18 21:02:37,,,
,,,5,裤子很有型 五分好评,2014-11-18 20:51:45,,,
,,,5,60CM 40kg很合身,2014-11-18 19:45:47,,,
,,,5,双11好不容易才抢到啊呜呜，木有辜负我的等待裤子质量很好也很显瘦，买了一套美美哒~,2014-11-18 18:49:59,,,
,//img.alicdn.com/bao/uploaded/i3/14259059246717556/TB2h_1ybXXXXXaSXpXXXXXXXXXX_!!1022324259-0-rate.jpg,,5,非常不错166Cm 52kg M合适,2014-11-18 18:47:31,,,
,,,4,不是肥版 裤型很不错,2014-11-18 18:29:50,,,
,"//img.alicdn.com/bao/uploaded/i4/13594059241629653/TB2Ba5AbXXXXXadXpXXXXXXXXXX_!!777763594-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/13594059446054040/TB2dnCCbXXXXXcMXXXXXXXXXXXX_!!777763594-0-rate.jpg,//img.alicdn.com/bao/uploaded/i3/13594061208215989/TB2LKWHbXXXXXaZXXXXXXXXXXXX_!!777763594-0-rate.jpg",,5,真心一般,2014-11-18 18:03:50,,,
,,,5,S的有点包 不过挺好的 便宜,2014-11-18 16:46:22,,,
,,,5,有点低腰又收裤脚,2014-11-18 15:14:49,,,
,,,5,太长了。。。,2014-11-18 12:25:18,,,
,,,5,担心买小了 试穿后反而大了点 裤子型很好 总体满意,2014-11-18 09:12:44,,,身高:165cm
,,,4,很好,2014-11-18 08:46:55,,,
,,,5,不是想象中的样子，不过还好,2014-11-18 07:05:51,,,
,,,5,裤子很喜欢！,2014-11-17 23:14:49,,,
,,,5,一直都爱三叶草，满意！！！！,2014-11-17 22:34:05,,,
,,,5,拉链确实很碍事，把它剪掉之后缝起来了wle，也看不出痕迹，挺好,2014-11-17 22:31:22,,,
,,,5,抢东西不易啊，还好哪儿哪儿都合适,2014-11-17 19:54:53,,,
,,,5,大小正合适 冬天里面加绒裤穿也可以 很满意,2014-11-17 17:47:16,,,
,,,5,很满意～好评～,2014-11-17 13:32:26,,,
,,,5,好看 修身,2014-11-17 13:27:04,,,
,,,5,非常好，赞,2014-11-17 12:59:51,,,身高:161cm
,,,5,挺好的,2014-11-17 12:50:13,,,
,,,5,还可以。拍的稍微有点小。很合适,2014-11-17 12:37:58,,,
,,,5,正品！！！经典款很赞，裤子收腿裤修身款！！！很帅，大气！！！,2014-11-17 00:44:21,,超赞！！！,身高:165cm
,,,5,裤子很修身，质量很好，非常满意,2014-11-17 00:23:28,,,身高:160cm
,,,4,小裤脚 本人个子矮 还需要剪裤脚 好看,2014-11-16 15:18:28,,,
,,,5,东西不错，客服差！根本不理人！,2014-11-16 13:41:00,,,
,,,5,不错,2014-11-16 10:45:14,,,
,,,4,早早就收藏了～双11果断下手了，款式样子都喜欢，显瘦对160的人来说是稍微长点,2014-11-15 22:57:51,,,
,,,5,还行，白色部分材质不好。,2014-11-15 21:34:01,,,
,,,5,非常好满意。,2014-11-15 20:54:50,,,
,,,5,超值！,2014-11-15 19:13:21,,,
,,,5,裤子低端的拉链不太好使，裤长合适但是太肥了。。还不错。,2014-11-15 14:19:57,,,
,,,5,非常好的裤子，面料款式都是我喜欢的。,2014-11-15 10:52:22,,,
,,,5,看起来还可以，面料是有点亮的那种，感觉没有蓝色的好看。裤子有点长，但是裤脚有拉链不能改短，运动时候穿也大碍事。刚刚拆开衣服有点味道，不知道洗过会不会好些。,2014-11-14 19:38:13,由于产品是全新的，建议您收到产品后可以放在通风透气的地方，气味会逐渐消失。我们产品都是正品，您可以放心穿着。若有任何问题请联系我们在线客服。感谢您对adidas淘宝旗舰店的支持，期待您的下次光临！,,身高:165cm
,,,5,稍稍比原来的大了点,2014-11-14 18:37:41,,,
226719300973|2014-11-03 16:28:43|对不起评价晚了，实在太忙了，没顾上来这里。非常好的一款，大小正好，裤型很好看，正品。喜欢|2||,,,5,,2014-11-02 14:42:22,,,
,,,5,huankeyi,2014-10-18 22:05:27,,,
,,,5,质量很好！就是客服不太给力，问了半天也不回话，完全自助购物,2014-10-11 18:41:39,抱歉，由于我们的服务给您带来的不良感受。近期咨询量非常的大，没有及时回复您请您见谅。今后我们会加强对客服的培训，不断改善服务质量，提高回复速度。希望您能继续支持我们店铺，期待您的下次光临!,,
,,,5,自助购物，穿着正好，款很修身，非常好。168，52.。快递也很快，不错。,2014-10-09 14:30:18,,,身高:168cm
,,,5,挺好,2014-10-07 07:52:51,,,
,,,5,速度超快，确认晚了。,2014-10-01 08:53:27,,,
,,,5,料子不是太舒服呀，没发现裤子上面还有拉链，腿短，裤子有点长,2014-09-27 12:41:42,,,
,,,5,特别好。很喜欢。,2014-09-12 19:09:44,,,
,,,5,非常合适，不错！,2014-09-09 09:36:10,,,
,,,5,收到才发现这条买过了，那也喜欢，型实在太好了,2014-08-09 12:06:37,,,
,,,5,非常喜欢 修身的 腰有点宽，不能绑带,2014-06-28 10:44:38,,,
,,,5,好！,2014-05-26 11:44:20,,,
,,,5,不错,2014-05-09 23:07:20,,,身高:168cm
214317783619|2014-06-17 11:28:35|发票寄回来太慢，售后客服很不负责任，耽误了我很大事情|38||,,,5,好,2014-05-09 16:37:07,,,身高:170cm
,,,5,喜欢喜欢,2014-04-22 22:48:02,,,
,,,5,很好老婆很喜欢,2014-04-07 12:31:44,,,
,,,4,很喜欢,2014-04-04 21:40:15,,,
,,,5,小腿有些紧,2014-04-01 15:47:15,,,身高:160cm
,,,5,是正品。不错,2014-03-31 13:45:15,,,
,,,5,是正品喔,2014-03-31 07:07:33,,,
,,,5,物流超级快,2014-03-29 15:08:52,,,
,,,5,好看,2014-03-27 00:21:58,,,
,,,5,显瘦修身款！169，110斤正合身！,2014-03-25 10:53:54,,,
,//img.alicdn.com/bao/uploaded/i1/17019036164450686/T2NPAsXr0aXXXXXXXX_!!143847019-0-rate.jpg,,5,不错,2014-03-24 01:19:16,,,
,//img.alicdn.com/bao/uploaded/i2/10561035725125798/T2TvAqXstaXXXXXXXX_!!262150561-0-rate.jpg,,5,裤子很好看 有点收腿得 正品,2014-03-23 22:24:31,,,
,,,5,东西不错，是正品呢... 态度很好,2014-03-23 21:05:33,,,
,,,5,好看,2014-03-23 11:58:18,,,
,,,5,之前买的大了，又换了小一码的，换货速度还挺快呢，就是好像客服人员好少啊 回复的有点慢,2014-03-22 08:11:04,,,身高:167cm
,,,5,价格很合适,2014-03-21 21:13:31,,,
,,,3,裤子还不错~,2014-03-21 17:55:06,,,
,,,4,自己买大了。还好。 服务非常不好、几乎等于白问。从来都不会说话。气死我了。,2014-03-21 08:55:52,抱歉，由于我们的服务给您带来的不良感受。近期咨询量非常的大，没有及时回复您请您见谅。今后我们会加强对客服的培训，不断改善服务质量，提高回复速度。希望您能继续支持我们店铺，期待您的下次光临！,,身高:168cm
,,,5,第一次发的货是有破的，换货流程超级超级慢，等了两个周，哎，应该是正品的。挺喜欢这个样子的。,2014-03-20 16:26:07,非常抱歉，给您的此次购物带来不便。今后我们会加强对商品出库前的质检工作，不断改善，希望您能继续支持我们店铺。若您收到商品有任何问题，可以联系我们售后客服，我店提供7天无理由退货和14天质量保障服务。感谢您对adidas的支持，期待您的下次光临！,,
,,,5,服务很好呀,2014-03-19 21:25:12,,,
,,,5,裤子是紧身那种的，但是侧面的三道料子很一般，看上去很没有质感，可能是因为裤子的料子的关系吧，反正，裤子是不太满意的。在意的童鞋仔细看看图吧，根据爱好决定。,2014-03-19 14:43:46,非常抱歉，给您的此次购物带来不便。若您收到商品有任何问题，可以联系我们售后客服，我店提供7天无理由退货和14天质量保障服务。感谢您对adidas的支持，期待您的下次光临！,,
,,,5,很喜欢，妈妈穿着也合适，是他喜欢的那种面料 客服不知道是人多还是什么原因，总是半天不理人,2014-03-18 17:38:34,抱歉，由于我们的服务给您带来的不良感受。近期咨询量非常的大，没有及时回复您请您见谅。今后我们会加强对客服的培训，不断改善服务质量，提高回复速度。希望您能继续支持我们店铺，期待您的下次光临！,,身高:158cm
,,,5,很不错的裤子 赶在活动的时候入手 超值 正品 好的没话说,2014-03-18 16:10:23,,,
,,,5,不错的裤裤，就是价格小贵啦,2014-03-18 12:25:18,,,
,,,5,二月买了一条红色的6折，164。50公斤，M码宽松。38节又看到5折。所以又买了一条黑色S的，后悔当时打折的时候没有看到外衣,2014-03-18 12:02:45,,,
