zeit,sterne,titel,beschreibung
11. Juni 2013,5.0 von 5 Sternen,Alles ok.,"Hab die Hose meiner Frau bestellt. Sie hat mittlererweile die zweite davon. Sie hat eine sehr gute Passform, trägt sich sehr, sehr angenehm, sowohl vom Schnitt her, wie auch vom Stoff.,Preis-Leistung ist sehr gut."
10. Januar 2013,5.0 von 5 Sternen,Absolut gut,"Für diesen Preis eine super Jogginghose. Die Grösse fällt optimal aus, auch in der Länge (1,65 m Grösse 38) (nicht zuuuu lang)-,Hat einen Bund oben und seitliche Taschen mit Reissverschluss. Also echt praktisch."
11. Dezember 2012,5.0 von 5 Sternen,Gewohnt Gute Adidas Qualität,"Meine Tochter ist ""ABSOLUT HAPPY"" mit dieser Adidas Hose ( hat übrgens auch die Jacke in gleicher Farbe dazu ).,Wie fast immer SEHR GUTE ""ADIDAS"" Qualität!!!"
10. Oktober 2012,5.0 von 5 Sternen,Etwas zu lang,"Ich bin 1,60 m und mir ist die Hose in Größe 38 einen ticken zu lang. Ansonsten passt alles. Sie ist gut waschbar und hat bisher alles gut überstanden. Habe nichts auszusetzen."
14. Januar 2014,5.0 von 5 Sternen,klasse hose,"die hose ist sooo cool!!! wie beschrieben - nicht wirklich zum sport geeignet, aber das war klar.,die lieferung erfolgt promt und unkompliziert. gern immer wieder."
20. November 2013,5.0 von 5 Sternen,Sehr gute Passform.,Ich habe mir dir Hose für meine Fitnesskurse gekauft. Bisher hat sie gut durchgehalten und sitzt auch beim Zumba perfekt und behindert mich nicht. Ich bin sehr zufrieden.
11. Januar 2013,4.0 von 5 Sternen,"angenehme Hose, jedoch ziemlich durchsichtig.","Die Hose sieht gut aus, ist bequem, allerdings sehr durchsichtig. Ich würde sie nicht immer tragen, nur zu sportlichen Aktivitäten und hautfarbener Unterwäsche,"
19. November 2012,5.0 von 5 Sternen,Adidas!,"Die Hose ist 1a.,Adidas for Life!,Ich trage die Hose im Alltag und nicht zum Sport.,Trage Größe 34 und die Hose passt genau."
15. Mai 2014,5.0 von 5 Sternen,Tolle Hose.,"Super Hose.  Wie gewohnt tolle adidas Qualität.  Farbe oliv ist wie abgebildet. Bin 1,60 m und Länge passt optimal also nix für groß gewachsene."
3. Februar 2014,5.0 von 5 Sternen,Jo,"Schöne Hose für zuhause, sitzt super, Farbe sehr schön, gefällt mir.,Angenehm zu tragen. Leicht zu waschen.,Lieber Gruss,,Heidi"
8. Februar 2013,5.0 von 5 Sternen,Hose,"sitzt sehr gut, ich habe diese hose schon in dunkelgrau-pink und ich bin,sehr zufrieden, möchte beide hosen auch nicht mehr missen."
31. Januar 2014,4.0 von 5 Sternen,Weiße Hose Adidas,"Super Qualität Größe passt, ein Stern Abzug weil die weiße Hose etwas durchsichtig ist, aber wirklich nur ein wenig. Danke"
11. April 2013,4.0 von 5 Sternen,Schöne Hose,Die Hose sieht gut aus und hat eine schöne pinke Farbe. Praktisch wie abgebildet. Sie könnte jedoch ca. 2 cm länger sein.
20. Dezember 2012,1.0 von 5 Sternen,habe etwas anderes erwartet,"schneller versand-5 tage,größe 40 war in ordnung(bin 1,70 und ca 68 kg)-der stoff unter aller kanone!!!!!!!,material statisch, sehr dünn und daher durchsichtig-fand ich am po sehr unangenehm,retoure"
5. November 2012,4.0 von 5 Sternen,"Tolle Hose, aber die Farbe...","Die Hose passt ganz gut für den Durchschnittsmenschen, evtl. im Zweifel eine Nummer größer bestelen. Finde Die angedeutete Bundfalte voll witzig und originell für eine Jogginghose. Auch das Material ist von guter und robuster Qualität und nach der Reinigung sieht die Hose immernoch einwandfrei aus. Aber: in Farbe weiß, so wie ich sie bestellt habe, kann ich sie nicht empfehlen. Man sieht die Taschen, sowie die Unterwäsche durch :-( Echt schade, ansonsten top!"
