zeit,sterne,titel,beschreibung
29. Dezember 2013,1.0 von 5 Sternen,Nie wieder,"Habe die Größe 36 bestellt und bekam 40. also 40 steht in der Hose und auf dem Etikett sogar Größe 42.,Echt Super.,Der einzige Grund warum ich hier bestellt habe ist, weil man nirgendwo anders die Hose in 36 bekommt, dann Zahl ich extra 15 Euro Versand und bekomme trotzdem 40. In der Größe hätte ich die Hose hier für die Hälfte bekommen."
8. Februar 2014,5.0 von 5 Sternen,Bequeme warme Hose,"Die Hose passt gut, wenn auch mit meinen 1,62 cm etwas zu lang. Zu beachten ist, dass die Hose sehr warm ist - also nichts für schweißtreibende Tatigkeiten. Ich habe sie mir extra für den Winter gekauft - super!"
3. Mai 2013,5.0 von 5 Sternen,Super Artikel,Artikel wie beschrieben. Funktioniert einwandfrei. Seit der Bestellung überhaupt keine beschwerden. Super Preis- und Leistungsverhältnis. Kann ich nur weiter empfehlen.
23. September 2014,5.0 von 5 Sternen,echt klasse!,Also das Preis Leistungsverhältnis ist spitze! Die Hose ist super bequem und sieht toll aus! Ich habe sie mir in Lila gekauft und bin sehr zufrieden;))
9. Januar 2011,5.0 von 5 Sternen,100 % überzeugt,"Wie nicht anders zu erwarten, sind Produkte dieser Firma in Größe und Sitz perfekt. Habe es als Geschenk gekauft und Anklang gefunden."
23. Oktober 2012,5.0 von 5 Sternen,superschöne Hose,"die Hose sitzt toll, das Material ist super - so wie man es eben von Adidas gewöhnt ist. bin rundum mit der Hose zufrieden. auch die Farbe ist toll, richtig leuchtend und kräftig."
13. April 2013,4.0 von 5 Sternen,klasse....,"super bequeme , schöne Trainings Hose. Frage mich aber immer , WARUM gibt es solche Marken Hosen meist zu KURZ?????,Ich bin 170 cm lang und habe häufig Probleme mit der Beinlänge ...Also liebe ADIDAS-LEUTE ...auch mal an die langen Beine der Mädels denken , Die sind doch heutzutage sowiese hochgewachsen !!!!!!!!"
12. Dezember 2013,5.0 von 5 Sternen,klasse,Diese Hose ist nicht nur für den Sport perfekt sondern auch für zu Hause. Habe sie schon 3 x bestellt und bin begeistert. Auch die tollen Farben! Zum Beispiel in pink. Einfach ein toller Hingucker. Meine Tochter und Schwiegertochter tragen sie auch und sind ebenfalls sehr glücklich damit.
22. Januar 2014,4.0 von 5 Sternen,reicht zum joggen,"für die kältere Jahreszeit ist sie gut, im Sommer vermutlich zu warm, da synthetisches Material, dass ich eigentlich überhaupt nicht mag und nutze, aber es geht zum joggen mal für eine Stunde,bei 1,70 m Größe und sonst M, passt sie auch genau"
2. Oktober 2013,4.0 von 5 Sternen,zufriedenstellende qualität,"gute passform, schöner stoff und saubere verarbeitung. was mir nicht so gut gefällt ist, dass das gummiband im hosenbund nicht so elastisch ist. frauen mit breiten hüften sollten also lieber eine größe größer bestellen."
