appendComment,pics,Sterne,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,不错。穿上正好。非常喜欢,2015-05-29 14:53:18,,,
,,5,买大了！可以的好评。,2015-05-29 13:49:00,,,
,,5,挺好的,2015-05-29 13:04:16,,,
,,5,不错,2015-05-29 12:23:13,,,
,,5,超级满意,2015-05-29 12:18:35,,,
,,5,不错,2015-05-29 11:50:05,,,
,//img.alicdn.com/bao/uploaded/i1/107070101624153008/TB21MKHcVXXXXaVXXXXXXXXXXXX_!!2230650707-0-rate.jpg,5,还行，就是不见生产日期的标签。,2015-05-29 11:11:26,,,
,,5,质量不错，就是太大了。好评吧,2015-05-29 09:15:45,,,
,,5,质量超好,2015-05-29 08:57:13,,,
,,5,一如既往的好,2015-05-29 08:40:52,,,
,,5,很好。,2015-05-29 08:13:21,,,
,,5,衣服质量很好，老板推荐的尺码刚好，下次还会光顾的，好评好评好评,2015-05-29 05:37:07,,,
,,5,物流真是超给力哦，衣服质量不错，穿着很舒服，是正品，加油,2015-05-28 23:56:56,,,
,,5,洗后领口有些变形，码子大,2015-05-28 22:57:37,,,
,,5,挺好的。,2015-05-28 22:08:04,,,
,,5,衣服有点大，比平时穿的码子大一号的感觉,2015-05-28 22:08:00,,,
,,5,质量还可以，穿上略大了点，发货和物流很快。,2015-05-28 21:46:49,,,
,,5,买了两款小码的，一件刚好，一件有点大，不过质量不错！很好,2015-05-28 21:28:02,,,
,,5,性价比不太高啊，就是个黑色纯棉背心，没什么型,2015-05-28 21:25:52,,,
,,5,给老爸买的衣服有点小胖，又懒得换，回头找地方修一下，衣服质量一如既往的好！,2015-05-28 20:23:32,,,
,,5,我本人一直很喜欢彪马这个品牌！但是每次都是在实体店买的.这是第一次在网上买我喜欢的产品！因为实在是没有时间去实体店看衣服！对这次网购很满意！码数合适！物流业也很快！服务态度好！,2015-05-28 17:50:08,,,
242717157344|2015-05-28 16:45:14|真是一般|0||您好，首先给您带来不便非常抱歉，针对您的反馈意见我们也十分的重视，但是需要和您进行下解释，我们PUMA官方店是天猫平台唯一一家旗舰店，也是唯一一家店铺直营店，针对商品是否是正品的问题上您绝对可以放心！如果您在购物中发现商品存在瑕疵或质量问题时，您可以直接联系我们在线工作人员！我们会第一时间予以沟通及反馈！我们十分乐意帮您处理！,,5,质量一般，不值这个钱，不是正品。偏小一号买的，合身。,2015-05-28 16:41:19,,物流快,
,,5,衣服很好，就是有点偏大了！,2015-05-28 16:25:06,,,
,,5,尺寸很合适，穿着很舒适，不愧是旗舰店的货，聚划算买的，性价比很高。,2015-05-28 15:32:50,,,
,,5,非常满意，会再来的，支持！！！,2015-05-28 15:25:22,,,
,,5,好！,2015-05-28 15:22:25,,,
,,5,好！,2015-05-28 15:22:25,,,
,,5,还好,2015-05-28 14:54:36,,,
,,5,衣服收到了，质量很好，和合身。做工精细。颜色很正。,2015-05-28 14:13:53,,,
,,5,好,2015-05-28 13:59:37,,,
