appendComment,pics,stars,rateContent,rateDate,reply,serviceRateContent,userInfo
,,5,快递很给力  包装很精致  还有发票  太满意了,2015-05-18 05:25:23,,,
,,5,好,2015-05-18 00:43:02,,,
,,5,还行,2015-05-17 22:00:29,,,
,,3,看到评论，确实衣服好小，要买大一个号才行，哎,2015-05-17 21:55:07,,,
,,5,不错。有点紧,2015-05-17 21:39:42,,,
,,5,太棒了，颜色漂亮。,2015-05-17 19:47:25,,,
,,4,感觉不错，不过有点紧，可能穿穿就好了~,2015-05-17 18:40:22,,,
,,5,不错,2015-05-17 16:42:01,,不错,
,,5,服务耐心，物品很正，就是买大了，送我爸了，建议以后买此类衣服不要只参考体重身高，重点在腰围胸围上。,2015-05-17 16:36:11,,,
,,5,发货很快！挺棒的。,2015-05-17 15:57:34,,,
,,4,身高175，体重79，先买了件L码，有点紧，再买了件XL就刚刚好,2015-05-17 12:27:52,,,
,,3,身高175，体重79，穿L码能挤进去，肚腩立刻勒不见，但是有点太紧了，再买一件XL蓝色,2015-05-17 12:24:54,,,
,,5,很多次买了,2015-05-17 12:20:57,,,
,,5,"旗舰店果然不错，客服态度好，发货快物流快，东西也放心。PRO系列实在太长了，我188cm,77KG,XXL紧是紧了，全拉开能到腿根。不过，皱着穿还是挺帅的，好好健身",2015-05-17 12:16:14,,,
,,5,非常好,2015-05-17 11:23:37,,,
,,5,包装很好，应该是正品,2015-05-17 09:47:52,,,
,,5,衣服質量不錯，快遞給力,2015-05-17 08:03:32,,,
,,5,感觉不错,2015-05-17 01:19:36,,,
,,5,好,2015-05-16 21:46:27,,,
,,5,好,2015-05-16 21:46:27,,,
,,5,"送货迅速，昨天下单今天到，很快！质量与描述相符，有物流跟踪。,",2015-05-16 20:19:56,,,
,,2,长太多了,2015-05-16 18:34:50,,,
241784894389|2015-05-16 15:58:17|物流没得说！太快了！衣服至少现在看来不错，穿着也还可以，总体评价四星|0||,,4,,2015-05-16 15:57:07,,,
,,5,从未体验过如此之快的速度。质量也应该是有保证的。,2015-05-16 13:39:46,,,
,,5,身高177，体重140穿着刚刚好，非常好。,2015-05-16 12:36:11,,,
,,5,好！！！服务态度好！产品和描述的一样！尺码大小合适！,2015-05-16 11:28:15,,,
,,5,不错,2015-05-16 11:19:21,,,
,"//img.alicdn.com/bao/uploaded/i4/17323080222822934/TB26HdDcVXXXXXZXXXXXXXXXXXX_!!767137323-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/17323080884406452/TB2xGtycVXXXXcvXXXXXXXXXXXX_!!767137323-0-rate.jpg,//img.alicdn.com/bao/uploaded/i1/17323080969036909/TB2exdxcVXXXXb8XXXXXXXXXXXX_!!767137323-0-rate.jpg",5,没得说，版型OK 松紧OK 一切OK 运动首选，除了价格不OK 不过确实质量上没得说 NIKE还是有实力的，支持！ 顺丰更是没话说了，快,2015-05-16 10:44:53,,,
,,5,还好吧，很多人都有同款,2015-05-16 08:45:52,,,
,,5,衣服不错。一分价钱一分货。,2015-05-16 06:39:35,,,
,,5,衣服不错。一分价钱一分货。,2015-05-16 06:39:35,,,
241717233782|2015-05-18 16:36:19|174cm 80KG 穿L码稍微有点小，肚子大了穿起就感觉很搞笑了|16||,,3,,2015-05-16 01:43:13,,,
,,5,很清爽的衣服,2015-05-16 01:16:56,,,
,,5,真心不错，穿上很舒服，一定会来买第二件的！,2015-05-15 22:53:09,,,
,,5,不好意思，确认晚了，衣服给弟弟买的，很好，很喜欢。,2015-05-15 21:46:48,,,
,,5,速度很快，东西不错,2015-05-15 21:16:28,,,
,,5,很好，谢谢！！！,2015-05-15 20:49:12,,,
,,5,昨天晚上收到了，儿子穿上合适。发的顺风意外。谢谢老板,2015-05-15 15:19:02,,,身高:175cm
,,5,非常好，老公很喜欢，健身就穿它了。,2015-05-15 15:12:41,,,
,,5,一如既往的优秀,2015-05-15 13:57:13,,,身高:181cm
241665781165|2015-05-16 09:14:32|给同学他爸买的|0||,,5,还不错,2015-05-15 13:35:26,,,
,,5,顺风相当给力，速度没的说，非常快！\n衣服上身很舒服，有点紧绷的感觉，要是再稍微宽松一点就更好了，唉，只能怪自己肚子有点大了。总体来说是一次非常满意的购物。,2015-05-15 13:23:57,,赞,身高:175cm
,,5,非常好，本人173，68KG   L号很合适，客服非常细心，谢谢,2015-05-15 13:22:26,,,
,,5,还行吧，真挺紧的，物流速度绝对快,2015-05-15 13:21:32,,,
,,5,很棒,2015-05-15 10:56:13,,,
,,5,包装齐全又豪华。。东西很棒，码数也准。。棒,2015-05-15 10:30:59,,,
,,5,男朋友说质量一般欸,2015-05-15 07:53:59,,,
,,5,面料很好,2015-05-14 22:27:28,,,
,,5,还挺好的,2015-05-14 21:52:12,,,
,,5,好,2015-05-14 17:08:56,,,
,,5,东西很不错！号码正好！感谢,2015-05-14 16:30:04,,,
,,5,不知道会不会掉色？,2015-05-14 15:45:32,,,
,,5,物流超快，说好三天，最后一天就到了。宝贝不错穿的很合适。,2015-05-14 12:54:16,,,
,,5,物流不给送到学校还让我自己去取 走了好远 衣服不错 出汗后很凉快,2015-05-14 07:51:12,,,
,,2,EMS真坑啊！,2015-05-14 07:38:49,,,
,,5,他很喜欢。满分,2015-05-14 03:27:34,,,
,,5,紧身衣买了大一码～还不错。。穿着刚合适～～不禁不松。。本人175，73公斤。,2015-05-14 00:37:38,,,
,,5,还不错,2015-05-13 23:28:36,,,
,,5,很合身，这已经是买的第二件了。很喜欢，物流业很快，昨天就收到了,2015-05-13 23:16:21,,,身高:176cm
,,5,衣服不错，5分。,2015-05-13 22:03:44,,,
,,5,包装很讲究，很喜欢已经穿上了,2015-05-13 19:55:37,,,
,,5,好快就到，确实紧身,2015-05-13 16:51:59,,,
,,5,送弟弟的，穿上很合适，弟弟身高一米七六，体重118斤，码数刚刚好，赞一个,2015-05-13 15:13:13,,,
,,5,挺合适，男朋友很喜欢！,2015-05-13 13:20:27,,,
,,5,一如既往的好,2015-05-13 13:10:05,,,
,,5,2xl正好,2015-05-13 11:20:55,,,身高:180cm
,,5,很不错，快递很快,2015-05-13 10:26:51,,,
,,5,快递给力！不到两天就到了，东西也很好，全五分！！,2015-05-13 10:12:22,,,
,,5,好,2015-05-13 09:34:36,,,
,,5,质量很好，宝贝也很喜欢，值得拥有！,2015-05-13 09:14:30,,好,身高:180cm
,"//img.alicdn.com/bao/uploaded/i1/18129080444686355/TB2mDgkcFXXXXcCXpXXXXXXXXXX_!!667148129-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/18129080689953465/TB2KTwrcFXXXXX3XpXXXXXXXXXX_!!667148129-0-rate.jpg",4,紧度比较合身，L号下面有些长，173CM。76KG。有些地方有线头。快递神速一天就到，三线城市一般三天。,2015-05-13 08:34:26,,,
241655024113|2015-05-14 13:06:51|穿着舒服，弹力十足。|3||,,5,正品是无疑的。,2015-05-13 08:29:13,,,
,,3,顺丰还要两天半，然后下面太长了,2015-05-13 00:10:55,,,
,,5,"还不错，180,85kg XL小了",2015-05-12 23:45:21,,,
,//img.alicdn.com/bao/uploaded/i3/17053080623131222/TB293QacFXXXXczXpXXXXXXXXXX_!!2178557053-0-rate.jpg,5,包装不错，比阿迪达斯好太多，中午买第二天中午就到了，穿的蛮舒服，准备再买一件,2015-05-12 22:51:30,,,
,//img.alicdn.com/bao/uploaded/i4/11322080390550274/TB2tl7rcFXXXXbhXXXXXXXXXXXX_!!833461322-0-rate.jpg,5,物流速度出奇的快，东西很不错很紧身!不错不错。,2015-05-12 20:42:25,,,
,,5,是正品，没问题，，，,2015-05-12 18:48:27,,,
,//img.alicdn.com/bao/uploaded/i2/18832080602581431/TB2TlskcFXXXXc7XXXXXXXXXXXX_!!755148832-0-rate.jpg,5,真实！给力，快递改地址也是第一时间到，好神奇！好运！,2015-05-12 16:43:13,,,
,,5,很满意 就是没想到太紧会露奶个敦 哈哈,2015-05-12 15:01:05,,,
,,5,特别合适特别舒服 透气性伸缩性超棒 出汗还没味道,2015-05-12 14:55:07,,,
,,3,挺好的，就是有点气味,2015-05-12 13:41:16,,,
,,5,质量不错，发的顺丰快递，两天就到了，很给力,2015-05-12 12:23:00,,,
,,5,颜色很风骚很好,2015-05-12 12:10:58,,物流非常快,身高:177cm
,,5,非常透气，大小也合适，满意,2015-05-12 12:10:58,,物流非常快,身高:177cm
,,5,一如既往的好！是正品,2015-05-12 10:20:46,,,
,,5,专卖店都在打折,2015-05-12 10:15:15,,,
,,5,不错，谢谢～,2015-05-12 09:05:14,,,
,,5,不错，谢谢～,2015-05-12 09:05:14,,,
,,5,挺好的,2015-05-11 23:35:01,,,
,,5,很满意,2015-05-11 21:42:00,,,
,,5,不错很喜欢！,2015-05-11 21:12:29,,,
,,5,很好很软,2015-05-11 13:11:32,,,身高:168cm
,,5,还附上了发票，质量很好！,2015-05-11 12:00:10,,,身高:166cm
,,5,顺丰太快了，东西很给力。,2015-05-11 11:16:16,,,
,,5,还不错 味道有点大 穿完以后再评价,2015-05-11 10:38:38,,,
,,5,有点小，但是紧身正好,2015-05-11 10:34:53,,,
,,5,买的S号，第一次穿感觉有点紧。质感不错,2015-05-11 08:35:43,,,身高:182cm
,,5,挺好的，很舒服。173  65  M正好,2015-05-10 17:13:43,,,
,//img.alicdn.com/bao/uploaded/i2/16627080130532739/TB29YYLcFXXXXapXXXXXXXXXXXX_!!895986627-0-rate.jpg,5,感觉还挺好的,2015-05-10 16:58:15,,,
,,5,质量很好正品,2015-05-10 15:31:30,,,
,,5,正,2015-05-10 11:41:29,,,
,,5,赞，顺丰速度超快、,2015-05-10 10:45:35,,,
,,5,发货速度奇快，赞?,2015-05-10 09:48:05,,,
,,5,不错不错,2015-05-10 09:45:49,,,
,,3,颜色怪怪的,2015-05-10 09:39:53,,,
,,5,小了，183，84，xl穿不了,2015-05-10 08:28:44,,,
,,5,卖家发货速度和快递速度真的特快 超给力 衣服也跟之前专卖店一样 很满意,2015-05-09 21:37:38,,,
,,5,刚拿到货试穿很贴身非常完美,2015-05-09 20:41:03,,,
,,5,非常好，很合身,2015-05-09 20:40:26,,,
,,5,超赞，\n贴身很舒服！正品！,2015-05-09 20:38:36,,,
,,5,好,2015-05-09 20:22:02,,,
,,5,好评,2015-05-09 20:21:22,,,
,"//img.alicdn.com/bao/uploaded/i2/13922079259806609/TB2edzkcFXXXXarXpXXXXXXXXXX_!!873923922-0-rate.jpg,//img.alicdn.com/bao/uploaded/i4/13922079557329930/TB2hmvucFXXXXbqXXXXXXXXXXXX_!!873923922-0-rate.jpg",5,还是黑色耐脏一些,2015-05-09 20:16:53,,,
,,5,很好。。老公很喜欢,2015-05-09 19:49:50,,,
,,4,是正品，就是腰这里太长了，本人个子175，体重160斤，L号还长，应该买M,2015-05-09 18:58:38,,,
,,5,很好,2015-05-09 17:59:22,,,
,,5,代人买的，店家服务好,2015-05-09 17:27:39,,,
,,5,代人买的，店家服务好,2015-05-09 17:27:39,,,
,,5,代人买的，店家服务好,2015-05-09 17:27:39,,,
,,5,发货快，快递也快一天就到了，挺满意的,2015-05-09 17:21:33,,,
,,5,物流速度很快 ，服务也很到位，\n衣服挺好得,2015-05-09 17:19:35,,,
,,5,质量很好，挺长的,2015-05-09 17:04:30,,,
,,5,"177cm,68kg,上身瘦，买的M号，穿上很修身",2015-05-09 16:07:09,,,身高:177cm
,,5,质量不错，包装很好！,2015-05-09 15:25:34,,,身高:182cm
,,5,都满分,2015-05-09 10:51:33,,,
,,2,味道有点大,2015-05-09 10:40:13,,,
,,5,质量很棒的衣服，很透气～,2015-05-09 10:06:20,,,
,,5,"180,70kg，M码嘎嘎合适，正正好好的，不松不紧，神速，正常一周到货然后两天就到了，给32个赞",2015-05-09 08:36:55,,,身高:180cm
,,5,绝对值,2015-05-09 08:15:22,,,
,,5,很好，很强大,2015-05-09 02:54:54,,,
,,5,男朋友很喜欢，跟我们在专卖店试的一样的,2015-05-08 23:29:54,,,
,"//img.alicdn.com/bao/uploaded/i4/12865079772914415/TB2OATgcFXXXXbhXXXXXXXXXXXX_!!423572865-0-rate.jpg,//img.alicdn.com/bao/uploaded/i2/12865094279184454/TB2wfa9cFXXXXcNXXXXXXXXXXXX_!!423572865-0-rate.jpg",5,不愧是官方旗舰店！快递也很给力，第二天就到了，包装很贴心，连手提袋收纳袋也有，发票和提货单也放在信封里，很贴心很注意细节，不能更赞，果断全五分！,2015-05-08 21:53:23,,,
,,5,顺风很给力 175 60kg表示衣服很紧 怪自己没问过客服,2015-05-08 21:24:24,,,
,,5,基本不错，运动必备,2015-05-08 21:04:33,,,
,,4,很好 就是價格貴了點,2015-05-08 18:35:57,,,
241202602467|2015-05-08 22:20:26|长时间没在家，没有及时的确认收货，刚开始拍了个L号的，有点小，换了大一号的正好，穿起来很舒服，全五分好评！|1||,,5,,2015-05-08 18:10:03,,,
,,5,还好,2015-05-08 12:49:03,,,
,,5,官方店各方面真没的说，太好了。给大家个参考180cm，142斤。穿L码略紧。,2015-05-08 12:40:30,,,
,,5,好。,2015-05-08 12:07:32,,,
,,5,很好，正品,2015-05-08 11:46:16,,,
,,5,东西不错，穿起来非常合身，运动起来很舒服,2015-05-08 10:41:42,,不得不说在天猫，NIKE官网比AD的官网好了1万倍，服务态度好了1万倍！,身高:176cm
,,5,挺好的,2015-05-08 09:57:27,,,
